column,name,short_name,type
103,Failed wait for connection:(incld/dx (source05.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source05.JDBCDataSourceRuntime,dbl
104,Connection delay:(source04.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source04.JDBCConnectionPoolRuntime,dbl
105,Stuck threads:(bea_wls_diagnostics.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:bea_wls_diagnostics,dbl
106,Total thread count:(Threading.ThreadCount),Total thread count,dbl
107,Stuck threads:(CdsAsyncRegistration.WorkManagerRuntime.StuckThreadCount),Stuck threads:CdsAsyncRegistration,dbl
108,Stuck threads:(WTC.WorkManagerRuntime.StuckThreadCount),Stuck threads:WTC,dbl
109,Available db connection activity:(d/dx (source08.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source08.JDBCConnectionPoolRuntime,dbl
110,Prepared statement cache hit rate:((source08.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source08.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source08.JDBCDataSourceRuntime,dbl
111,Rel. unavailable connections:((source06.JDBCConnectionPoolRuntime.NumUnavailable / source06.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source06.JDBCConnectionPoolRuntime,dbl
112,Stuck threads:(ASYNC_REP_FLUSH_WM.WorkManagerRuntime.StuckThreadCount),Stuck threads:ASYNC_REP_FLUSH_WM,dbl
113,Memory space usage:((PS Survivor Space.MemoryPool.Usage.committed / PS Survivor Space.MemoryPool.Usage.max)),Memory space usage:PS Survivor Space.Committed,dbl
114,Stuck threads:(bea_wls9_async_response.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:bea_wls9_async_response,dbl
115,Rel. unavailable connections:((source01.JDBCDataSourceRuntime.NumUnavailable / source01.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source01.JDBCDataSourceRuntime,dbl
116,Stuck threads:(ImageWorkManager.WorkManagerRuntime.StuckThreadCount),Stuck threads:ImageWorkManager,dbl
117,Memory space activity:(d/dx ((Code.MemoryPool.Usage.used / Code.MemoryPool.Usage.max))),Memory space activity:Code.Used,dbl
118,Objects to be finalized:(Memory.ObjectPendingFinalizationCount),Objects to be finalized,dbl
119,Stuck threads:(source03.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source03,dbl
120,Prepared statement cache hit rate:((source10.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source10.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source10.JDBCDataSourceRuntime,dbl
121,Stuck threads:(wls-wsat.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:wls-wsat,dbl
122,Rel. unavailable connections:((source06.JDBCDataSourceRuntime.NumUnavailable / source06.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source06.JDBCDataSourceRuntime,dbl
123,Active connections:(source02.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source02.JDBCDataSourceRuntime,dbl
124,Active connections:(source10.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source10.JDBCDataSourceRuntime,dbl
125,Stuck threads:(Rejector.WorkManagerRuntime.StuckThreadCount),Stuck threads:Rejector,dbl
126,Available db connection activity:(d/dx (source05.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source05.JDBCConnectionPoolRuntime,dbl
127,Active connections:(source06.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source06.JDBCDataSourceRuntime,dbl
128,DB connection started:(incld/dx (source05.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source05.JDBCConnectionPoolRuntime,dbl
129,Prepared statement cache hit rate:((source02.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source02.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source02.JDBCDataSourceRuntime,dbl
130,Successful wait for connection:(incld/dx (source06.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source06.JDBCDataSourceRuntime,dbl
131,Heap committed activity:(d/dx (Memory.HeapMemoryUsage.committed)),Heap committed activity,dbl
132,Stuck threads:(System.WorkManagerRuntime.StuckThreadCount),Stuck threads:System,dbl
133,Rel. swap usage:((OperatingSystem.FreeSwapSpaceSize / OperatingSystem.TotalSwapSpaceSize)),Rel. swap usage:OperatingSystem,dbl
134,Stuck threads:(OneWayJTACoordinatorWM.WorkManagerRuntime.StuckThreadCount),Stuck threads:OneWayJTACoordinatorWM,dbl
135,Active connections:(source09.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source09.JDBCDataSourceRuntime,dbl
136,Available db connection activity:(d/dx (source04.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source04.JDBCDataSourceRuntime,dbl
137,Last GC duration:(PS Scavenge.GarbageCollector.LastGcInfo.duration),Last GC duration:PS Scavenge,dbl
138,Failing reserve requests:(incld/dx (source01.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source01.JDBCDataSourceRuntime,dbl
139,Rel. unavailable connections:((source04.JDBCConnectionPoolRuntime.NumUnavailable / source04.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source04.JDBCConnectionPoolRuntime,dbl
140,Prepared statement cache hit rate:((source03.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source03.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source03.JDBCDataSourceRuntime,dbl
141,Stuck threads:(sys02.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:sys02,dbl
142,DB connection started:(incld/dx (source08.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source08.JDBCDataSourceRuntime,dbl
143,Reserve request activity:(incld/dx (source09.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source09.JDBCDataSourceRuntime,dbl
144,Rel. physical mem usage:((OperatingSystem.FreePhysicalMemorySize / OperatingSystem.TotalPhysicalMemorySize)),Rel. physical mem usage:OperatingSystem,dbl
145,NonHeap usage activity:(d/dx (Memory.NonHeapMemoryUsage.used)),NonHeap usage activity,dbl
146,Active connections:(source01.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source01.JDBCConnectionPoolRuntime,dbl
147,Prepared statement cache hit rate:((source05.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source05.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source05.JDBCDataSourceRuntime,dbl
148,Rel. unavailable connections:((source03.JDBCDataSourceRuntime.NumUnavailable / source03.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source03.JDBCDataSourceRuntime,dbl
