column,name,short_name,type
194,Rel. open file descriptors:((OperatingSystem.OpenFileDescriptorCount / OperatingSystem.MaxFileDescriptorCount)),Rel. open file descriptors:OperatingSystem,dbl
195,Rel. unavailable connections:((source05.JDBCConnectionPoolRuntime.NumUnavailable / source05.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source05.JDBCConnectionPoolRuntime,dbl
196,Failing reserve requests:(incld/dx (source02.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source02.JDBCDataSourceRuntime,dbl
197,Available db connection activity:(d/dx (source03.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source03.JDBCDataSourceRuntime,dbl
198,Connection delay:(source03.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source03.JDBCConnectionPoolRuntime,dbl
199,Rel. unavailable connections:((source09.JDBCDataSourceRuntime.NumUnavailable / source09.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source09.JDBCDataSourceRuntime,dbl
200,Reserve request activity:(incld/dx (source04.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source04.JDBCDataSourceRuntime,dbl
201,Active connections:(source02.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source02.JDBCConnectionPoolRuntime,dbl
202,Failed wait for connection:(incld/dx (source04.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source04.JDBCDataSourceRuntime,dbl
203,Memory space usage:((PS Perm Gen.MemoryPool.Usage.used / PS Perm Gen.MemoryPool.Usage.max)),Memory space usage.Used:PS Perm Gen.Used,dbl
204,Stuck threads:(source01.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source01,dbl
205,Connection delay:(source06.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source06.JDBCConnectionPoolRuntime,dbl
206,Stuck threads:(source10.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source10,dbl
207,Last GC duration:(PS MarkSweep.GarbageCollector.LastGcInfo.duration),Last GC duration:PS MarkSweep,dbl
208,Reserve request activity:(incld/dx (source01.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source01.JDBCDataSourceRuntime,dbl
209,Successful wait for connection:(incld/dx (source05.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source05.JDBCDataSourceRuntime,dbl
210,Stuck threads:(bea_wls_deployment_internal.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:bea_wls_deployment_internal,dbl
211,Failing reserve requests:(incld/dx (source09.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source09.JDBCDataSourceRuntime,dbl
212,Rel. unavailable connections:((source03.JDBCConnectionPoolRuntime.NumUnavailable / source03.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source03.JDBCConnectionPoolRuntime,dbl
